Supplier,Part Number,Quantity on Hand,Item UOM,Item Cost,$ on Hand,Annual Usage Qty,Average Daily Usage Qty,Minimum Order Qty,Box Size Qty,Lead Time [Days],Annual Usage [$],Mfg_Site,Planner Code,Planning Method,Safety Stock Qty,% Received On Time,Delivery Frequency
SUPPLIER97,ITEM_1404,8800,EACH,15.00,132000.00,1600.0,6.5,1000,200,70,24000.00,SITE2,BUYER7,MRP,176,15.4,5x per week
SUPPLIER97,ITEM_1403,7600,EACH,14.00,106400.00,500.0,2.0,1000,200,70,7000.00,SITE2,BUYER7,MRP,25,10.0,5x per week
SUPPLIER97,ITEM_1405,400,EACH,184.00,73600.00,2380.0,9.7,1000,1000,70,437920.00,SITE2,BUYER7,MRP,220,1.6,5x per week
SUPPLIER97,ITEM_1145,1850,PIECE,20.00,37000.00,1198.0,4.9,1000,1000,70,23960.00,SITE2,BUYER7,MRP,220,33.4,5x per week
SUPPLIER133,ITEM_4796,3825,POUND,8.52,32604.30,47600.1,194.3,1700,1700,7,405742.85,SITE6,BUYER2,MRP,1275,74.5,1x per week
SUPPLIER45,ITEM_0409,35800,PIECE,0.59,21157.80,172200.0,702.9,200,200,51,101770.20,SITE4,BUYER2,MRP,20000,80.0,1x per week
SUPPLIER4,ITEM_4244,500,GALLON,34.66,17330.00,13750.0,56.1,50,50,6,476575.00,SITE2,BUYER2,MRP,148,93.3,1x per week
SUPPLIER218,ITEM_0741,367,PIECE,45.83,16820.34,1999.0,8.2,33,33,16,91618.17,SITE9,BUYER1,Min-max,,80.1,2x per week
SUPPLIER186,ITEM_6052,96096.0009,INCH,0.17,16528.51,2803416.0,11442.5,7392,7392,6,482187.55,SITE6,BUYER10,MRP,51744,88.1,5x per week
SUPPLIER162,ITEM_5471,37545,POUND,0.44,16369.62,112245.0,458.1,12000,1000,5,48938.82,SITE6,BUYER1,Min-max,,80.2,4x per week
SUPPLIER7,ITEM_0797,1813,PIECE,8.99,16298.87,42849.0,174.9,312,312,7,385212.51,SITE7,BUYER1,MRP,400,92.8,2x per week
SUPPLIER6,ITEM_0223,7959,POUND,1.94,15400.67,82887.0,338.3,6000,6000,15,160386.35,SITE9,BUYER1,Min-max,,93.1,4x per week
SUPPLIER45,ITEM_5433,37800,PIECE,0.40,15120.00,200600.0,818.8,200,200,56,80240.00,SITE3,BUYER2,MRP,21600,78.2,1x per week
