X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22
SUPPLIER133,ITEM_4796,3825,POUND,8.52,32604.3,47600.1,194.3,1700,1700,7,405742.85,SITE6,BUYER2,MRP,1275,74.5,1x per week,1655.436,14484,14484,10863
SUPPLIER4,ITEM_4244,500,GALLON,34.66,17330,13750,56.1,50,50,6,476575,SITE2,BUYER2,MRP,148,93.3,1x per week,1944.426,1733,1733,5129.68
SUPPLIER186,ITEM_6052,96096.0009,INCH,0.17,16528.51,2803416,11442.5,7392,7392,6,482187.55,SITE6,BUYER10,MRP,51744,88.1,5x per week,1945.225,1256.64,1256.64,8796.48
SUPPLIER7,ITEM_0797,1813,PIECE,8.99,16298.87,42849,174.9,312,312,7,385212.51,SITE7,BUYER1,MRP,400,92.8,2x per week,1572.351,2804.88,2804.88,3596
SUPPLIER57,ITEM_2820,5570.48,SQUARE FOOT,2.59,14438.68,311946.9,1273.3,700.2,700.2,4,808566.31,SITE4,BUYER5,MRP,2677,99.9,5x per week,3297.847,1813.518,1813.518,6933.43
SUPPLIER104,ITEM_1882,145,PIECE,86.95,12607.75,2305,9.4,10,10,13,200419.75,SITE2,BUYER4,MRP,50,96.9,5x per week,817.33,869.5,869.5,4347.5
SUPPLIER186,ITEM_5683,113760,INCH,0.11,12513.6,4503474,18381.5,7584,7584,6,495382.14,SITE6,BUYER10,MRP,45504,90,5x per week,2021.965,834.24,834.24,5005.44
SUPPLIER163,ITEM_4831,977,GALLON,12.45,12163.65,4829,19.7,6500,500,6,60121.05,SITE12,BUYER2,MRP,1000,24.7,2x per week,245.265,80925,6225,12450
SUPPLIER32,ITEM_1423,3200,PIECE,3.77,12057.6,47480,193.8,1000,40,6,178904.64,SITE8,BUYER4,MRP,2600,93.7,2x per week,730.626,3770,150.8,9802
SUPPLIER91,ITEM_4912,416,GALLON,26.65,11084.32,8268,33.7,104,52,5,220300.86,SITE4,BUYER5,MRP,156,78.6,1x per week,898.105,2771.6,1385.8,4157.4
SUPPLIER6,ITEM_0156,5720,POUND,1.9,10839.4,81619,333.1,354,354,6,154668.01,SITE4,BUYER1,MRP,449,80.1,4x per week,632.89,672.6,672.6,853.1
SUPPLIER186,ITEM_6443,172480,INCH,0.06,10176.32,3409120,13914.8,24640,24640,6,201138.08,SITE6,BUYER10,MRP,123200,83.7,5x per week,834.888,1478.4,1478.4,7392
SUPPLIER6,ITEM_0111,6710,POUND,1.51,10138.81,4475,18.3,388,388,11,6761.73,SITE7,BUYER1,MRP,89,95.6,4x per week,27.633,585.88,585.88,134.39
SUPPLIER186,ITEM_6166,72072,INCH,0.13,9657.65,1968120,8033.1,5544,5544,6,263728.08,SITE6,BUYER10,MRP,27720,89.3,5x per week,1044.303,720.72,720.72,3603.6
SUPPLIER186,ITEM_5879,45864,INCH,0.2,9172.8,411502,1679.6,6552,6552,6,82300.4,SITE6,BUYER10,MRP,32760,86.9,5x per week,335.92,1310.4,1310.4,6552
